month,product,product_version,average_umux,responses
2024-10,check out,2.1,50.0,2
2024-10,checkout,1.2,50.0,4
2024-10,checkout,1.3,47.5,5
2024-10,checkout,2.0,31.25,2
2024-10,onboarding,1.2,46.88,4
2024-10,onboarding,1.3,43.75,2
2024-10,onboarding,2.0,54.17,6
2024-10,onboarding,2.1,50.0,3
2024-10,onboardng,1.3,50.0,1
2024-10,onboardng,2.0,62.5,1
2024-10,onboardng,2.1,56.25,2
2024-10,payment,1.2,37.5,1
2024-10,payment,1.3,50.0,2
2024-10,payments,1.2,43.75,2
2024-10,payments,1.3,43.75,2
2024-10,payments,2.0,56.25,2
2024-10,payments,2.1,37.5,4
2024-10,profile,1.2,50.0,3
2024-10,profile,1.3,54.17,6
2024-10,profile,2.0,45.83,3
2024-10,profile,2.1,50.0,6
2024-10,search,1.2,50.0,2
2024-10,search,1.3,41.67,3
2024-10,search,2.0,62.5,1
2024-10,search,2.1,53.12,4
2024-10,serch,1.2,50.0,1
2024-10,serch,2.0,25.0,1
2024-11,check out,1.2,50.0,1
2024-11,check out,1.3,56.25,2
2024-11,check out,2.0,50.0,1
2024-11,check out,2.1,50.0,1
2024-11,checkout,1.2,54.17,3
2024-11,checkout,1.3,40.62,4
2024-11,checkout,2.0,50.0,1
2024-11,checkout,2.1,33.33,3
2024-11,onboarding,1.2,50.0,2
2024-11,onboarding,1.3,54.17,3
2024-11,onboarding,2.0,50.0,2
2024-11,onboarding,2.1,54.17,3
2024-11,onboardng,1.2,43.75,2
2024-11,onboardng,2.0,37.5,1
2024-11,onboardng,2.1,62.5,1
2024-11,payment,1.2,50.0,2
2024-11,payment,1.3,43.75,2
2024-11,payment,2.0,25.0,1
2024-11,payment,2.1,50.0,4
2024-11,payments,1.2,58.33,3
2024-11,payments,2.0,62.5,2
2024-11,payments,2.1,41.67,3
2024-11,profile,1.2,53.57,7
2024-11,profile,1.3,50.0,4
2024-11,profile,2.0,75.0,1
2024-11,profile,2.1,47.73,11
2024-11,search,1.2,37.5,3
2024-11,search,1.3,54.17,3
2024-11,search,2.0,54.17,3
2024-11,search,2.1,50.0,1
2024-11,serch,1.2,50.0,2
2024-11,serch,1.3,50.0,1
2024-11,serch,2.0,37.5,1
2024-11,serch,2.1,50.0,1
2024-12,check out,1.3,54.17,3
2024-12,check out,2.0,37.5,1
2024-12,check out,2.1,37.5,2
2024-12,checkout,1.2,50.0,4
2024-12,checkout,1.3,50.0,3
2024-12,checkout,2.0,62.5,1
2024-12,checkout,2.1,50.0,3
2024-12,onboarding,1.3,50.0,4
2024-12,onboarding,2.0,43.75,2
2024-12,onboarding,2.1,56.25,2
2024-12,onboardng,1.2,50.0,1
2024-12,onboardng,1.3,37.5,1
2024-12,onboardng,2.1,59.38,4
2024-12,payment,1.2,50.0,1
2024-12,payment,1.3,50.0,2
2024-12,payment,2.1,62.5,1
2024-12,payments,1.2,56.25,2
2024-12,payments,1.3,56.25,2
2024-12,payments,2.0,47.5,5
2024-12,payments,2.1,41.67,3
2024-12,profile,1.2,45.83,3
2024-12,profile,1.3,51.79,7
2024-12,profile,2.0,62.5,1
2024-12,profile,2.1,55.0,5
2024-12,search,1.2,43.75,2
2024-12,search,1.3,37.5,2
2024-12,search,2.0,25.0,1
2024-12,search,2.1,43.75,2
2024-12,serch,1.2,56.25,2
2024-12,serch,1.3,50.0,1
2025-01,check out,2.0,62.5,1
2025-01,checkout,1.2,50.0,2
2025-01,checkout,1.3,50.0,1
2025-01,checkout,2.0,50.0,1
2025-01,checkout,2.1,50.0,2
2025-01,onboarding,1.2,37.5,2
2025-01,onboarding,1.3,56.25,2
2025-01,onboarding,2.0,43.75,2
2025-01,onboarding,2.1,53.12,4
2025-01,onboardng,1.2,37.5,1
2025-01,onboardng,1.3,37.5,1
2025-01,payment,1.2,54.17,3
2025-01,payment,1.3,25.0,1
2025-01,payments,1.2,47.92,6
2025-01,payments,1.3,58.33,6
2025-01,payments,2.0,50.0,3
2025-01,payments,2.1,46.43,7
2025-01,profile,1.2,46.88,8
2025-01,profile,1.3,50.0,5
2025-01,profile,2.0,46.88,4
2025-01,profile,2.1,50.0,5
2025-01,search,1.2,56.25,4
2025-01,search,1.3,43.75,2
2025-01,search,2.0,62.5,1
2025-01,search,2.1,41.67,3
2025-01,serch,1.2,68.75,2
2025-01,serch,1.3,50.0,1
2025-01,serch,2.0,37.5,2
2025-01,serch,2.1,37.5,2
2025-02,check out,1.2,43.75,2
2025-02,check out,1.3,43.75,2
2025-02,checkout,1.2,46.88,4
2025-02,onboarding,1.2,37.5,2
2025-02,onboarding,1.3,50.0,1
2025-02,onboarding,2.0,68.75,2
2025-02,onboarding,2.1,62.5,1
2025-02,onboardng,1.3,50.0,2
2025-02,onboardng,2.0,45.83,3
2025-02,onboardng,2.1,50.0,1
2025-02,payment,2.1,50.0,1
2025-02,payments,1.2,37.5,1
2025-02,payments,1.3,43.75,4
2025-02,payments,2.0,43.75,2
2025-02,payments,2.1,56.25,2
2025-02,profile,1.2,50.0,7
2025-02,profile,1.3,50.0,6
2025-02,profile,2.0,50.0,5
2025-02,profile,2.1,58.33,3
2025-02,search,1.3,45.83,3
2025-02,search,2.0,37.5,1
2025-02,search,2.1,45.83,3
2025-03,check out,2.0,62.5,1
2025-03,checkout,1.2,50.0,4
2025-03,checkout,2.0,37.5,3
2025-03,checkout,2.1,52.08,6
2025-03,onboarding,1.2,37.5,1
2025-03,onboarding,2.0,58.33,3
2025-03,onboarding,2.1,46.88,4
2025-03,onboardng,1.2,62.5,1
2025-03,onboardng,2.0,37.5,1
2025-03,payment,2.0,43.75,2
2025-03,payments,1.2,68.75,4
2025-03,payments,1.3,62.5,1
2025-03,payments,2.0,44.64,7
2025-03,payments,2.1,56.25,2
2025-03,profile,1.2,50.0,6
2025-03,profile,1.3,62.5,1
2025-03,profile,2.0,45.0,5
2025-03,profile,2.1,50.0,4
2025-03,search,1.2,50.0,2
2025-03,search,1.3,56.25,2
2025-03,search,2.0,62.5,4
2025-03,search,2.1,43.75,2
2025-03,serch,2.0,50.0,1
2025-03,serch,2.1,50.0,2
2025-04,check out,1.2,37.5,1
2025-04,check out,1.3,50.0,1
2025-04,check out,2.1,50.0,2
2025-04,checkout,1.2,50.0,1
2025-04,checkout,1.3,50.0,2
2025-04,checkout,2.0,59.38,4
2025-04,checkout,2.1,53.12,4
2025-04,onboarding,1.2,37.5,1
2025-04,onboarding,1.3,46.88,4
2025-04,onboarding,2.0,43.75,2
2025-04,onboarding,2.1,37.5,2
2025-04,onboardng,2.0,25.0,1
2025-04,payment,1.3,62.5,2
2025-04,payments,1.2,50.0,3
2025-04,payments,1.3,45.83,3
2025-04,payments,2.0,37.5,1
2025-04,payments,2.1,62.5,3
2025-04,profile,1.2,46.88,8
2025-04,profile,1.3,56.25,4
2025-04,profile,2.0,37.5,3
2025-04,profile,2.1,50.0,2
2025-04,search,1.2,56.25,2
2025-04,search,1.3,50.0,1
2025-04,search,2.0,50.0,3
2025-04,search,2.1,50.0,2
2025-04,serch,1.2,37.5,1
2025-04,serch,1.3,56.25,2
2025-04,serch,2.1,37.5,1
2025-05,check out,1.3,37.5,1
2025-05,checkout,1.2,50.0,2
2025-05,checkout,2.0,54.17,3
2025-05,checkout,2.1,56.25,2
2025-05,onboarding,1.2,54.17,3
2025-05,onboarding,1.3,45.83,3
2025-05,onboarding,2.0,43.75,2
2025-05,onboarding,2.1,50.0,3
2025-05,onboardng,1.3,43.75,2
2025-05,onboardng,2.0,56.25,2
2025-05,payment,1.2,56.25,2
2025-05,payment,1.3,37.5,1
2025-05,payment,2.1,62.5,1
2025-05,payments,1.2,59.38,4
2025-05,payments,1.3,56.25,4
2025-05,payments,2.0,53.12,4
2025-05,payments,2.1,56.25,4
2025-05,profile,1.2,52.5,5
2025-05,profile,1.3,50.0,5
2025-05,profile,2.0,37.5,2
2025-05,profile,2.1,53.12,4
2025-05,search,1.2,46.88,4
2025-05,search,1.3,56.25,2
2025-05,search,2.0,54.17,3
2025-05,search,2.1,54.17,3
2025-05,serch,1.2,50.0,3
2025-05,serch,1.3,50.0,1
2025-05,serch,2.0,58.33,3
2025-05,serch,2.1,62.5,1
2025-06,check out,1.2,37.5,1
2025-06,checkout,1.2,43.75,6
2025-06,checkout,1.3,50.0,1
2025-06,checkout,2.0,50.0,4
2025-06,checkout,2.1,50.0,4
2025-06,onboarding,1.3,50.0,5
2025-06,onboarding,2.0,50.0,2
2025-06,onboarding,2.1,50.0,6
2025-06,onboardng,1.3,50.0,1
2025-06,onboardng,2.0,25.0,2
2025-06,payment,1.2,37.5,1
2025-06,payment,1.3,31.25,2
2025-06,payment,2.0,62.5,1
2025-06,payment,2.1,54.17,3
2025-06,payments,1.2,50.0,3
2025-06,payments,1.3,46.88,4
2025-06,payments,2.0,29.17,3
2025-06,payments,2.1,45.83,3
2025-06,profile,1.2,50.0,4
2025-06,profile,1.3,45.0,5
2025-06,profile,2.0,48.44,8
2025-06,profile,2.1,50.0,1
2025-06,search,1.2,52.5,5
2025-06,search,1.3,59.38,4
2025-06,search,2.1,46.88,4
2025-06,serch,1.2,62.5,1
2025-06,serch,1.3,56.25,2
2025-06,serch,2.1,37.5,1
2099-12,check out,2.0,50.0,1
2099-12,checkout,1.3,50.0,2
2099-12,checkout,2.0,50.0,1
2099-12,checkout,2.1,50.0,1
2099-12,onboarding,2.0,50.0,3
2099-12,payment,1.3,50.0,1
2099-12,payment,2.0,62.5,1
2099-12,payments,2.0,37.5,1
2099-12,payments,2.1,37.5,1
2099-12,profile,1.3,62.5,1
2099-12,profile,2.0,62.5,1
2099-12,search,2.1,37.5,1
